passage_id,question,passage
2001_499-238,Czy źródła finansowania partii politycznych mogą być niejawne?,"W ustawie z dnia 27 czerwca 1997 r. o partiach politycznych (Dz.U. Nr 98,
poz. 604 i z 1998 r. Nr 106, poz. 668) wprowadza się następujące zmiany:
1) w art. 11 w ust. 1 wyraz ""Wojewódzki"" zastępuje się wyrazem ""Okręgowy"";
2) tytuł rozdziału 4 otrzymuje brzmienie:
    ""Finanse i finansowanie partii politycznych"";
3) w rozdziale 4 dodaje się art. 23a w brzmieniu:
       ""Art. 23a. Źródła finansowania partii politycznych są jawne."";
4) art. 24 i 25 otrzymują brzmienie:
      ""Art. 24. 1. Majątek partii politycznej powstaje ze składek
             członkowskich, darowizn, spadków, zapisów, z dochodów z majątku
             oraz z określonych ustawami dotacji i subwencji.
           2. Majątek partii politycznej może być przeznaczony tylko na cele
            statutowe lub charytatywne.
         3. Partia polityczna nie może prowadzić działalności gospodarczej.
         4. Partia polityczna może pozyskiwać dochody z majątku pochodzące
           jedynie:
           1) z oprocentowania środków zgromadzonych na rachunkach bankowych
             i lokatach,
           2) z obrotu obligacjami Skarbu Państwa i bonami skarbowymi Skarbu
             Państwa,
           3) ze zbycia należących do niej składników majątkowych,
           4) z działalności, o której mowa w art. 27.
         5. Partia polityczna może użyczać posiadane przez siebie
           nieruchomości i lokale jedynie na biura poselskie, senatorskie
           oraz biura radnych gminy, powiatu albo województwa.
         6. Partia polityczna nie może przeprowadzać zbiórek publicznych.
         7. Partia polityczna może zaciągać kredyty bankowe na cele
           statutowe.
         8. Partia polityczna może gromadzić środki finansowe jedynie na
           rachunkach  bankowych."
1997_604-39,Czy źródła finansowania partii politycznych mogą być niejawne?," 1. Źródła finansowania partii politycznych są jawne.
 2. Partia polityczna składa Sądowi, nie później niż do 31 marca następnego 
   roku, informację o jej źródłach finansowania w roku poprzednim. Odpis 
   informacji partia polityczna składa w tym samym terminie Państwowej 
   Komisji Wyborczej.
 3. Państwowa Komisja Wyborcza po porozumieniu z Ministrem Finansów 
   ustala, w drodze uchwały, wzór informacji, o której mowa w ust. 2.
 4. W przypadku niezłożenia przez partię polityczną informacji określonej w 
   ust. 2 Sąd wzywa właściwy organ partii politycznej do jej złożenia w terminie
   3 miesięcy.
 5. W razie bezskutecznego upływu terminu, o którym mowa w ust. 4, Sąd po 
   przeprowadzeniu rozprawy wydaje postanowienie o wykreśleniu wpisu partii
   politycznej z ewidencji.
 "
1998_1118-69,Czy wnuki przyjęte na wychowanie mają prawo do renty po zmarłych rodzicach?,"Przyjęte na wychowanie i utrzymanie wnuki, rodzeństwo i inne dzieci, o których
mowa w art. 67 ust. 1 pkt 2, mają prawo do renty rodzinnej, jeżeli spełniają
warunki określone w art. 68, a ponadto:
   1) zostały przyjęte na wychowanie i utrzymanie co najmniej na rok przed
     śmiercią ubezpieczonego (emeryta lub rencisty), chyba że śmierć była
     następstwem wypadku, oraz
   2) nie mają prawa do renty po zmarłych rodzicach, a gdy rodzice żyją,
     jeżeli:
     a) nie mogą zapewnić im utrzymania albo
     b) ubezpieczony (emeryt lub rencista) lub jego małżonek był ich
       opiekunem ustanowionym przez sąd."
1997_769-30,Kiedy kurator składa wniosek o ogłoszenie upadłości osoby prawnej?,"Kurator składa wniosek o ogłoszenie upadłości osoby prawnej, dla której został
ustanowiony, jeżeli stwierdzi, że istnieją podstawy do ogłoszenia upadłości.
 "
1996_110-223,Czy dawka promieniowania jonizującego pochodzącego ze źródeł naturalnych może przekroczyć dawkę graniczną?,"                promieniowaniem jonizującym, pochodzącym ze źródeł 
                sztucznych i naturalnych, występujących w środowisku 
                pracy.
             §2. Dawka promieniowania jonizującego pochodzącego ze 
                źródeł naturalnych, otrzymywana przez pracownika przy 
                pracy w warunkach narażenia na to promieniowanie, nie 
                może przekraczać dawek granicznych, określonych w 
                odrębnych przepisach dla sztucznych źródeł promieniowania
                jonizującego."
2001_18-14,Czy dawka promieniowania jonizującego pochodzącego ze źródeł naturalnych może przekroczyć dawkę graniczną?,"1. Suma dawek promieniowania jonizującego dla pracowników oraz ogółu ludności,
  pochodzących od wszystkich rodzajów wykonywanej działalności łącznie, nie
  może, z zastrzeżeniem art. 19 ust. 1 i art. 20 ust. 2 i 3, przekraczać dawek
  granicznych określonych w przepisach wydanych na podstawie art. 25 pkt 1.
2. Dawek granicznych nie stosuje się do osób poddawanych działaniu
  promieniowania jonizującego w celach medycznych."
1996_463-1,Jaki tytuł ma obecnie Wyższa Szkoła Inżynierska w Koszalinie?,"Wyższej Szkole Inżynierskiej w Koszalinie nadaje się nazwę ""Politechnika Koszalińska"".
 "
2001_1207-20,Czy wydanie dyspozycji wyjazdu/wylotu zespołu ratownictwa medycznego w razie konieczności użycia dodatkowych jednostek systemu rodzi roszczenia finansowe?,"1. Do zadań centrum powiadamiania ratunkowego należy w szczególności:
   1) przyjmowanie powiadomień o stanach nagłego zagrożenia życia lub zdrowia,
     ustalanie priorytetów i niezwłoczne dysponowanie jednostek systemu,
     z uwzględnieniem ust. 2,
   2) przekazywanie niezbędnych informacji osobom udzielającym pierwszej
     pomocy, w szczególności przed przybyciem zespołu ratownictwa medycznego na
     miejsce zdarzenia,
   3) przekazywanie kierującemu działaniami ratowniczymi niezbędnych informacji
     ułatwiających podejmowanie rozstrzygnięć na miejscu zdarzenia,
   4) przekazywanie niezbędnych informacji o stanach zagrożenia życia lub
     zdrowia innym jednostkom wykonującym zadania w zakresie ratownictwa
     medycznego,
   5) koordynacja medycznych działań ratowniczych podejmowanych przez
     poszczególne jednostki systemu, a także działań podejmowanych przez inne
     jednostki uczestniczące w działaniach ratowniczych, w szczególności przez
     jednostki współdziałające z systemem, o których mowa w art. 32 ust. 1,
     oraz inne jednostki wykonujące zadania w zakresie ratownictwa medycznego,
   6) monitorowanie i analiza działań ratowniczych.
2. W razie konieczności użycia dodatkowych jednostek systemu, rozlokowanych
  poza obszarem działania centrum powiadamiania ratunkowego, dyspozytor
  medyczny tego centrum zwraca się do dyspozytora medycznego centrum
  powiadamiania ratunkowego działającego na sąsiednim obszarze o wydanie
  dyspozycji wyjazdu albo wylotu na miejsce zdarzenia zespołu ratownictwa
  medycznego lub o przyjęcie osoby znajdującej się w stanie nagłego zagrożenia
  życia lub zdrowia do szpitalnego oddziału ratunkowego.
3. W sytuacji, o której mowa w ust. 2, dyspozytor wydaje dyspozycję wyjazdu
  albo wylotu na miejsce zdarzenia lub przyjęcia osoby do szpitalnego oddziału
  ratunkowego. Dyspozytor może odmówić wydania dyspozycji, o której mowa w ust.
  2, wyłącznie w sytuacji, gdy jednostka systemu nie ma możliwości wykonania w
  danej chwili określonego zadania.
4. Wydanie dyspozycji wyjazdu albo wylotu zespołu ratownictwa medycznego
  w przypadku określonym w ust. 2, nie rodzi roszczeń finansowych.
                                        "
1997_593-23,Co kontroluje okręgowa komisja rewizyjna?,"Okręgowa komisja rewizyjna:
   1) kontroluje działalność statutową, finansową i gospodarczą okręgowej izby,
   2) składa sprawozdania  okręgowemu zjazdowi izby  i Krajowej Komisji
     Rewizyjnej,
   3) występuje z wnioskiem o udzielenie absolutorium okręgowej radzie izby.
                                       "
1997_553-184,"Czy ktoś, kto przewozi materiał jądrowy bez właściwego zabezpeczenia podlega karze ograniczenia wolności?"," § 1. Kto przewozi, gromadzi, składuje, porzuca lub pozostawia bez właściwego
     zabezpieczenia materiał jądrowy albo inne źródło promieniowania 
     jonizującego, jeżeli może to zagrozić życiu lub zdrowiu człowieka lub 
     spowodować zniszczenie w świecie roślinnym lub zwierzęcym w znacznych
     rozmiarach,
        podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
 § 2. Tej samej karze podlega, kto wbrew obowiązkowi dopuszcza do popełnienia
     czynu określonego w § 1.
 § 3. Jeżeli sprawca czynu określonego w § 1 lub 2 działa nieumyślnie,
        podlega grzywnie, karze ograniczenia wolności albo pozbawienia 
         wolności do lat 2.
                                    "
2001_1409-27,Czy producent butelek miarowych może przekazać opis przyjętego systemu kontroli wewnętrznej po rozpoczęciu produkcji?,"1. Producent butelek miarowych jest odpowiedzialny za zorganizowanie i
  przeprowadzanie kontroli wewnętrznej butelek miarowych. Kontrola ta może być
  przeprowadzana wyłącznie przy pomocy zalegalizowanych przyrządów pomiarowych,
  odpowiednich do wykonywania niezbędnych czynności.
2. Stosowany przez producenta system kontroli wewnętrznej butelek miarowych
  powinien zapewniać skuteczność porównywalną do skuteczności metody
  referencyjnej. Opis metody referencyjnej kontroli butelek miarowych zawiera
  załącznik nr 6 do ustawy.
3. Producent, w terminie co najmniej 60 dni przed rozpoczęciem produkcji
  butelek miarowych jest obowiązany przekazać dyrektorowi właściwego
  terytorialnie okręgowego urzędu miar opis przyjętego przez siebie systemu
  kontroli wewnętrznej butelek miarowych. Przepisy art. 16 ust. 2 i 3 stosuje
  się odpowiednio.
4. Producent może wprowadzać do obrotu partię butelek miarowych po
  przeprowadzeniu kontroli wewnętrznej, o której mowa w ust. 1 i stwierdzeniu
  pozytywnego wyniku kontroli.
                                        "
2001_499-18,Czy wyborca niepełnosprawny jest dopisywany do spisu wyborców?,"1. Wyborca niepełnosprawny, na jego wniosek wniesiony do urzędu gminy
  najpóźniej w 10 dniu przed dniem wyborów, jest dopisywany do spisu wyborców
  w wybranym przez siebie obwodzie głosowania spośród obwodów głosowania, w
  których znajdują się lokale, o których mowa w art. 53 ust. 1, na obszarze
  gminy właściwej ze względu na miejsce jego stałego zamieszkania.
2. We wniosku, o którym mowa w ust. 1, podaje się dane wymienione w art. 11
  ust. 4.
                                      "
1997_739-86,Kto wydaje decyzje w sprawach udzielania i pozbawiania azylu w RP?,"Decyzje w sprawach udzielania i pozbawiania azylu w Rzeczypospolitej Polskiej
wydaje Minister Spraw Wewnętrznych i Administracji w porozumieniu z 
Ministrem Spraw Zagranicznych.
                                    "
1997_739-109,Kto wydaje decyzje w sprawach udzielania i pozbawiania azylu w RP?,"1. Cudzoziemiec, który przybył na terytorium Rzeczypospolitej Polskiej w 
   okresie od dnia 1 stycznia 1992 r. do dnia 31 grudnia 1996 r., na podstawie
   uzyskanego przed przyjazdem zezwolenia na pobyt stały wydanego na 
   podstawie art. 13 ustawy, o której mowa w art. 112 i przebywa na nim 
   nieprzerwanie, może w okresie do dnia 31 grudnia 1998 r. złożyć wniosek 
   o uznanie go za obywatela polskiego.
 2. Wniosek, o którym mowa w ust. 1, składa się do Ministra Spraw Wewnętrznych
   i Administracji.
 3. Minister Spraw Wewnętrznych i Administracji wyda decyzję o uznaniu cudzoziemca
   za obywatela polskiego, jeżeli wnioskodawca spełnia łącznie 
   następujące warunki:
   1) jest narodowości polskiej lub ma pochodzenie polskie,
   2) ma w Rzeczypospolitej Polskiej zapewnione mieszkanie i utrzymanie - 
     w takim wypadku przepis art. 19 ust. 3 stosuje się odpowiednio,
   3) nie zachodzi w jego wypadku żadna z okoliczności określonych w art. 
     13 ust. 1 pkt 2-6.
 4. Od decyzji Ministra Spraw Wewnętrznych i Administracji, o której mowa 
   w ust. 3, nie przysługuje skarga do Naczelnego Sądu Administracyjnego.
 5. W wypadku nabycia przez oboje rodziców obywatelstwa polskiego w trybie 
   określonym w ust. 1 obywatelstwo polskie nabywają również ich dzieci. Jeżeli
   obywatelstwo polskie w trybie określonym w ust. 1 nabywa tylko jedno 
   z rodziców, dzieci nabywają obywatelstwo polskie jedynie za zgodą drugiego
   z rodziców, wyrażoną w odpowiednim oświadczeniu złożonym przed 
   wojewodą albo kierownikiem polskiego przedstawicielstwa dyplomatycznego
   lub urzędu konsularnego.
 6. Nabycie obywatelstwa, zgodnie z ust. 5, przez dziecko, które ukończyło 
   szesnaście lat, następuje za jego zgodą.
 7. Osobie, która nabyła obywatelstwo polskie w trybie określonym w ust. 3, 
   przysługują wszelkie uprawnienia, jakie przepisy prawa wiążą z uzyskaniem
   obywatelstwa polskiego w drodze repatriacji lub uznaniem za repatrianta.
 8. Osoba, która utraciła obywatelstwo polskie nabyte w trybie określonym w 
   niniejszym artykule, nie może nabyć go ponownie w drodze repatriacji.
 9. Rada Ministrów określi, w drodze rozporządzenia, szczegółowy tryb postępowania
   w sprawach, o których mowa w niniejszym artykule, wzór wniosku
   oraz dokumenty, które powinny być do niego dołączone."
